,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.04.2019,29139452031.74,4.9375,20,7748048232.68,,21
4,05.04.2019,671789504.2600001,3.764705882352941,17,12349044111.650002,4.136363636363637,22
5,06.04.2019,35428.299999999996,2.0,3,79201.4,5.5,2
6,07.04.2019,142498.8,2.7777777777777777,9,396414.4,10.333333333333334,3
7,08.04.2019,1852850.8,3.6666666666666665,15,14960307135.26,2.5357142857142856,28
8,09.04.2019,59936692.260000005,3.4285714285714284,29,8414296573.4800005,,24
9,10.04.2019,1446189.0,4.444444444444445,18,36343902712.939995,4.517241379310345,29
11,12.04.2019,71513403.81,4.647058823529412,34,7577839792.209999,4.4,20
12,13.04.2019,518791.79999999993,6.888888888888889,9,99793.79999999999,4.333333333333333,3
13,14.04.2019,920867.8999999999,7.0,6,200067.69999999998,4.0,3
14,15.04.2019,1082895.3,4.764705882352941,17,23227354795.590004,3.7083333333333335,24
15,16.04.2019,603934473.0200001,3.7777777777777777,18,8316597317.889999,2.3076923076923075,26
16,17.04.2019,14354167.4,3.227272727272727,22,31311426949.300003,2.533333333333333,30
17,18.04.2019,598904119.8,3.4210526315789473,19,5508922738.9,2.5925925925925926,27
18,19.04.2019,9479339.819999998,3.0384615384615383,26,1703476634.6000001,3.7142857142857144,7
19,20.04.2019,471035.4,8.5,4,2710958.3,3.3333333333333335,3
20,21.04.2019,55682.899999999994,2.6,5,28010.2,6.0,1
22,23.04.2019,495859879.52,4.108108108108108,37,10576663282.400002,2.5161290322580645,31
23,24.04.2019,19717147.2,3.44,25,34203084087.010002,4.384615384615385,26
24,25.04.2019,341153767.6,5.7272727272727275,12,13219867407.160002,,26
25,26.04.2019,6346423.399999999,,30,13863348940.449999,,23
26,27.04.2019,27378.9,1.0,2,0.0,,0
27,28.04.2019,80028.3,1.2,5,15364.5,1.0,1
28,29.04.2019,37362409.17,3.6153846153846154,26,18359004750.14,2.6944444444444446,36
29,30.04.2019,3003624542.5,3.5454545454545454,22,14139272185.179998,3.1666666666666665,30
30,01.04.2019,654307811.52,4.352941176470589,18,9915129855.580002,,25
31,02.04.2019,15801720535.89,5.9375,18,10181406201.16,,20
32,03.04.2019,32350967780.4,5.125,19,19030901392.399994,,27
33,11.04.2019,118681578490.04,6.318181818181818,26,10017115841.91,,25
34,22.04.2019,29155500.3,3.111111111111111,18,1329943.5399999998,2.857142857142857,7
