,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.08.2019,415685.2,4.857142857142857,7,174713.4,2.75,4
4,05.08.2019,604804.8,3.3333333333333335,18,20014893206.6,3.53125,32
5,06.08.2019,5613988.0,2.78125,32,37201442512.8,3.9714285714285715,35
6,07.08.2019,1393226.9,3.45,20,23472796116.12,3.6785714285714284,28
7,08.08.2019,17507650.39,3.0689655172413794,29,26176595474.730003,3.4642857142857144,28
8,09.08.2019,41215715.2,5.466666666666667,15,2992183048.2,2.5454545454545454,22
9,10.08.2019,1004576.7999999999,6.0,6,154711.4,3.0,3
11,12.08.2019,10661610587.900002,4.928571428571429,14,6488012853.259999,2.8,25
12,13.08.2019,9402763.73,3.85,20,11873317361.349997,3.3666666666666667,30
13,14.08.2019,7430161.500000001,3.4347826086956523,23,33080217480.489998,5.566666666666666,30
14,15.08.2019,22917507.8,3.8947368421052633,19,17396656243.36,3.5,36
15,16.08.2019,10638408.4,4.1875,16,5773336550.71,2.7083333333333335,24
16,17.08.2019,97531.8,2.727272727272727,11,18971.5,4.0,2
17,18.08.2019,61572.9,3.6666666666666665,3,204438.90000000002,1.0,3
18,19.08.2019,2208855.6000000006,5.083333333333333,12,7163344946.92,2.7857142857142856,28
19,20.08.2019,958192.9,4.75,12,27221010706.54,2.7241379310344827,29
20,21.08.2019,2613187.2,4.076923076923077,13,22522765030.96,3.7916666666666665,24
22,23.08.2019,2926681.01,3.45,20,9493153928.49,2.1153846153846154,26
23,24.08.2019,192460.9,4.428571428571429,7,5229.7,3.0,1
24,25.08.2019,114345.9,2.2857142857142856,7,22592.7,1.0,4
25,26.08.2019,2003862.4,4.875,16,455875710.38,3.2666666666666666,15
26,27.08.2019,2855857.72,4.333333333333333,12,4975332919.48,2.1481481481481484,27
27,28.08.2019,100131392.10000001,3.3333333333333335,15,15213644876.810001,3.25,24
28,29.08.2019,9554341.5,,28,7291433833.660001,,30
29,30.08.2019,3690226.7800000003,4.266666666666667,15,16832218336.74,3.108108108108108,37
30,31.08.2019,610401.5,3.3846153846153846,13,99048.3,3.5,4
31,01.08.2019,10892594.0,3.3,20,19796200521.210003,3.8518518518518516,27
32,02.08.2019,624202.3,3.1176470588235294,17,36787888198.86,5.958333333333333,24
33,03.08.2019,304440.3,2.888888888888889,9,126849.09999999999,1.5,4
34,11.08.2019,592511.5,4.857142857142857,7,20407.300000000003,2.6666666666666665,3
35,22.08.2019,14144398.899999999,2.9130434782608696,23,22817494495.019997,2.823529411764706,34
