,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.12.2019,3360125750.23,3.6,46,15055260275.78,,42
4,05.12.2019,31581230.0,3.735294117647059,34,6189087456.84,2.033333333333333,30
5,06.12.2019,896055182.1,4.476190476190476,22,7123678044.55,,33
6,07.12.2019,560655.3,4.3,10,20314.2,2.6666666666666665,3
7,08.12.2019,1220976.9,3.090909090909091,11,22507.1,2.0,2
8,09.12.2019,584192587.7,3.967741935483871,32,6249998319.120001,,31
9,10.12.2019,107989053.94,3.6818181818181817,22,9541175476.69,2.793103448275862,29
11,12.12.2019,160884015.14999998,3.761904761904762,21,16370034361.509998,2.5,30
12,13.12.2019,502432260.3,2.4782608695652173,46,9046798308.95,2.3823529411764706,34
13,14.12.2019,900282.5,3.9166666666666665,12,2123.5,2.0,1
14,15.12.2019,570993.3,2.3333333333333335,9,200134.8,2.5,2
15,16.12.2019,3834921.07,,23,15209986568.199999,,28
16,17.12.2019,3181823.5,2.675,40,7657719234.78,2.6333333333333333,30
17,18.12.2019,102943483.78,2.0714285714285716,42,28198364128.019997,2.5,32
18,19.12.2019,1595521429.0,3.1724137931034484,30,14333636167.060001,,35
19,20.12.2019,9942569.89,4.333333333333334,25,7364956625.4800005,,27
20,21.12.2019,163493.69999999998,3.5555555555555554,9,1198023.8,1.75,4
22,23.12.2019,1902924719.0,3.9473684210526314,21,977400009.9,,17
23,24.12.2019,5951720855.96,4.9375,19,994660536.6,,9
24,25.12.2019,49894832.8,5.214285714285714,14,1575808.66,3.375,8
25,26.12.2019,76712069.69999999,2.75,44,1200452726.05,2.3043478260869565,23
26,27.12.2019,1518033669.6,2.689655172413793,31,3946090122.2299995,,18
27,28.12.2019,467896.5,1.6666666666666667,6,0.0,,0
28,29.12.2019,882420.1,2.0,6,0.0,,0
29,30.12.2019,5768051066.1,3.3333333333333335,31,2455988562.3599997,,21
30,31.12.2019,489331915.5,1.9285714285714286,14,755399688.0,1.8333333333333333,6
31,01.12.2019,354621.4,5.5,6,14917.3,3.0,3
32,02.12.2019,1407795682.1,7.590909090909091,24,7597061129.619999,,33
33,03.12.2019,34986358.8,4.7272727272727275,22,14844874843.84,2.5675675675675675,37
34,11.12.2019,660362702.5899999,5.12,26,10091833897.91,,29
35,22.12.2019,75932.1,8.0,3,58439.1,3.25,4
