,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,05.02.2019,33743549.94,4.214285714285714,14,11194031671.359999,3.2,25
4,06.02.2019,163640893.23999995,2.0,28,15083225616.630001,4.086956521739131,23
5,07.02.2019,4483972535.7,3.2432432432432434,39,21806075449.19,,31
6,08.02.2019,13038314.2,2.28,25,19732436755.850002,3.206896551724138,29
7,09.02.2019,78636.70000000001,5.25,4,134899.5,4.0,4
8,10.02.2019,178563.6,4.142857142857143,7,63674.2,4.25,4
9,12.02.2019,1576303.7,3.4375,16,12420355477.159998,2.8461538461538463,26
11,13.02.2019,1643097937.3200002,3.8421052631578947,21,31439711852.579998,,31
12,14.02.2019,331541325.75000006,2.282051282051282,39,45560575237.4,4.821428571428571,28
13,15.02.2019,4512361106.7,4.5625,17,37558359634.22,,29
14,16.02.2019,182107.09999999998,3.8,10,140487.69999999998,7.333333333333333,3
15,17.02.2019,511676.7,5.0,9,184220.00000000003,4.25,4
16,18.02.2019,5534845225.49,3.95,21,1610114630.2600002,,11
17,19.02.2019,47305737.13,1.962962962962963,27,7934058732.91,2.95,20
18,20.02.2019,29466561761.19,3.2666666666666666,32,5389243842.9,,16
19,21.02.2019,31349893855.0,4.357142857142858,30,4426109428.549999,,16
20,23.02.2019,315859.7,2.0,12,40948.8,1.6666666666666667,3
22,24.02.2019,69237.7,2.625,8,66096.4,3.5,2
23,25.02.2019,31037153.27,2.5806451612903225,31,9540386062.269999,3.0,21
24,26.02.2019,5071647.95,2.8095238095238093,21,10314832512.54,2.6,25
25,27.02.2019,29361644304.8,5.764705882352941,19,17004420088.749998,,22
26,28.02.2019,1099181741.4,2.9615384615384617,27,15920706504.95,,32
27,01.02.2019,13904916376.79,6.571428571428571,16,10049650093.009998,,24
28,02.02.2019,33177.5,2.142857142857143,7,827909.7000000001,2.75,4
29,03.02.2019,163060.3,7.333333333333333,3,13075.900000000001,3.3333333333333335,3
30,11.02.2019,98394722.93000002,2.5161290322580645,31,25001183520.300003,2.7083333333333335,24
31,22.02.2019,1111890347.1,3.0454545454545454,22,4694500086.299999,2.9444444444444446,18
