,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.01.2019,40703.0,1.2,5,495348103.74,1.5,2
4,05.01.2019,4899.0,1.0,2,0.0,,0
5,06.01.2019,188458.9,2.142857142857143,7,9857.0,1.0,1
6,07.01.2019,1074.5,1.0,1,0.0,,0
7,08.01.2019,2025.0,1.0,2,215212377.0,1.0,3
8,09.01.2019,573806210.22,8.538461538461538,14,15558250102.159996,,30
9,10.01.2019,6527274810.3,5.181818181818182,23,14843529817.369999,,28
11,12.01.2019,408451.0,5.285714285714286,7,62827.3,4.5,4
12,13.01.2019,218306.7,7.75,4,86357.8,4.0,4
13,14.01.2019,19499501562.1,5.1875,18,5665168648.92,,20
14,15.01.2019,196977883.02,7.25,9,12582561047.01,,23
15,16.01.2019,9551300328.0,5.75,14,24521050637.390003,,33
16,17.01.2019,45748770.24,4.7,10,10724595834.75,3.5185185185185186,27
17,18.01.2019,25524074.299999997,2.5,36,10664135357.87,3.8095238095238093,21
18,19.01.2019,159574.1,7.666666666666667,3,43168.4,8.0,3
19,20.01.2019,84186.0,2.5,4,18488.7,4.0,2
20,21.01.2019,17594199859.5,3.9523809523809526,22,2323255319.52,,16
22,23.01.2019,44472902.1,2.3142857142857145,35,8840433983.390001,2.8620689655172415,29
23,24.01.2019,20916032.339999996,5.0,7,12965396885.980003,3.7142857142857144,21
24,25.01.2019,2915727349.8,5.5,13,10751179284.28,,31
25,26.01.2019,18937.0,1.0,2,0.0,,0
26,27.01.2019,298630.0,1.0,2,0.0,,0
27,28.01.2019,35623493.6,3.4347826086956523,23,4589489840.86,3.1052631578947367,19
28,29.01.2019,8770393.8,4.25,8,1554547935.24,3.0714285714285716,14
29,30.01.2019,10584271.200000001,2.3461538461538463,26,14253671783.900002,4.0,20
30,31.01.2019,742953747.51,5.2,15,15199668255.010002,4.379310344827586,29
31,01.01.2019,3680.0,1.0,1,0.0,,0
32,03.01.2019,16204.4,1.0,2,152789.87,2.0,1
33,11.01.2019,9474779.3,3.3846153846153846,13,17845756492.55,4.214285714285714,28
34,22.01.2019,2997854845.14,5.588235294117647,18,4321177713.330001,,20
