,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.07.2019,861307.7000000001,4.461538461538462,13,18715439770.25,3.0384615384615383,26
4,05.07.2019,1147755.2999999998,5.416666666666667,12,10767638544.150002,3.263157894736842,19
5,06.07.2019,319511.9,5.5,6,1127007.5,3.25,4
6,07.07.2019,215968.3,8.0,4,4220.4,3.0,1
7,08.07.2019,21192929.299999997,2.238095238095238,21,7216294174.950001,2.5384615384615383,26
8,09.07.2019,13395593.840000002,3.4210526315789473,19,3223428335.8,2.6666666666666665,21
9,10.07.2019,6982882.5,4.25,16,21191057622.27,3.888888888888889,27
11,12.07.2019,2375871.08,3.5,22,15242424125.68,2.6666666666666665,27
12,13.07.2019,501596.0,3.2222222222222223,9,166678.2,3.0,4
13,14.07.2019,109702.0,4.333333333333333,6,125039.3,2.25,4
14,15.07.2019,11199605.270000001,,28,8148103397.83,,21
15,16.07.2019,8755352.500000002,2.6785714285714284,28,8569997920.669998,2.5185185185185186,27
16,17.07.2019,11235932.6,3.0588235294117645,17,12331237854.200003,3.2333333333333334,30
17,18.07.2019,159196360.8,2.3448275862068964,29,16327343364.42,3.3636363636363638,22
18,19.07.2019,480864460.97,4.55,21,7251385799.42,,24
19,20.07.2019,250774.10000000003,6.4,5,88494.0,2.3333333333333335,3
20,21.07.2019,49040.8,5.0,4,51716.3,2.3333333333333335,3
22,23.07.2019,1548985.5600000003,5.5625,16,6206306119.43,3.217391304347826,23
23,24.07.2019,43884814.6,4.411764705882353,17,12775958072.66,2.7,30
24,25.07.2019,27352656.68,3.1818181818181817,22,23480188100.239998,2.96,25
25,26.07.2019,15447537.909999998,5.416666666666667,12,8558506958.3,2.4444444444444446,27
26,27.07.2019,96924.1,1.5,8,5121.5,1.0,1
27,28.07.2019,65794.2,2.0,8,114117.09999999999,1.6666666666666667,3
28,29.07.2019,697945.0,5.2727272727272725,11,13315393072.5,2.96,25
29,30.07.2019,2485391.4,5.818181818181818,11,21598254154.900005,3.5714285714285716,28
30,31.07.2019,9078795.709999999,4.111111111111111,18,10716104871.83,3.5,28
31,01.07.2019,155760848.77,4.105263157894737,19,11103306616.87,3.2916666666666665,24
32,02.07.2019,5267473814.1,5.125,18,11864104142.3,,25
33,03.07.2019,6414272.62,2.92,25,17281414305.55,3.269230769230769,26
34,11.07.2019,5562007.6,3.6666666666666665,18,11697447849.380001,2.3448275862068964,29
35,22.07.2019,1709852.5,,16,7761658531.19,,20
