,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.06.2019,615239283.7,4.833333333333334,13,24122012510.25,,30
4,05.06.2019,694463673.0099999,3.090909090909091,22,37815980885.67,2.90625,32
5,06.06.2019,1016954382.4,5.15625,33,22002785441.54,,35
6,07.06.2019,9078612310.3,5.105263157894737,19,10874548449.800001,2.5652173913043477,23
7,08.06.2019,136426.2,4.428571428571429,7,12143.4,2.5,2
8,09.06.2019,547928.0,2.75,8,5139.700000000001,2.0,2
9,10.06.2019,5116631.9,,20,6596720562.49,,24
11,12.06.2019,484617.5,6.222222222222222,9,193214088.9,3.5,4
12,13.06.2019,15421701.799999999,2.8529411764705883,34,14924276805.349998,3.888888888888889,27
13,14.06.2019,26223817.94,3.4482758620689653,29,13461534972.689999,3.6666666666666665,24
14,15.06.2019,480098.20000000007,3.0,15,36320.3,2.0,4
15,16.06.2019,491505.99999999994,2.909090909090909,11,42951.0,2.6666666666666665,3
16,17.06.2019,767598807.3,4.611111111111111,19,6038899709.25,,25
17,18.06.2019,345431642.9,4.190476190476191,22,14655698221.74,,26
18,19.06.2019,78028930.63000001,3.3461538461538463,26,14173972026.26,3.1666666666666665,30
19,20.06.2019,15432938.52,3.8823529411764706,17,25681188136.7,3.1724137931034484,29
20,21.06.2019,559107412.1,2.727272727272727,22,20017850258.75,2.608695652173913,23
22,23.06.2019,64681.5,3.75,4,36449.600000000006,2.6666666666666665,3
23,24.06.2019,2336897.1,3.5625,16,36889238784.19,3.3333333333333335,33
24,25.06.2019,6049176.24,3.0357142857142856,28,19388837042.850002,2.3333333333333335,33
25,26.06.2019,7563240.600000001,3.238095238095238,21,37482488066.020004,3.1818181818181817,33
26,27.06.2019,1183726126.1,5.909090909090909,12,14726566281.189999,,27
27,28.06.2019,198605447.1,3.111111111111111,18,16043698819.91,2.5428571428571427,35
28,29.06.2019,405725.60000000003,1.8888888888888888,9,35304.1,1.6666666666666667,3
29,30.06.2019,188804.6,2.75,8,17248.8,1.5,2
30,01.06.2019,172196.9,1.7777777777777777,9,21052.1,1.0,4
31,02.06.2019,435408.6,8.6,5,43972.6,2.6666666666666665,3
32,03.06.2019,9506301862.95,3.6666666666666665,35,7684476154.34,,23
33,11.06.2019,3334991.1,4.125,16,13509891101.76,2.88,25
34,22.06.2019,213182.4,1.3333333333333333,3,102165.8,1.0,2
