,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.03.2019,5021155867.83,4.75,17,3454276736.8999996,,21
4,05.03.2019,187928477.2,5.153846153846154,14,6486642441.3,,17
5,06.03.2019,1823395699.6999998,3.4615384615384617,27,11983967657.359997,,18
6,07.03.2019,47134833.14,2.8823529411764706,17,9803940971.6,3.217391304347826,23
7,08.03.2019,213963.4,2.75,4,74509090.0,3.0,5
8,09.03.2019,37908.2,5.0,3,483591.6,2.6666666666666665,3
9,10.03.2019,21675.199999999997,3.25,4,20718.1,3.6666666666666665,3
11,12.03.2019,1501931170.42,3.1875,33,6403134586.669999,,29
12,13.03.2019,178096423.1,2.3846153846153846,13,26209171496.899998,3.6842105263157894,19
13,14.03.2019,9093288999.2,,31,20153332785.05,,19
14,15.03.2019,17309914863.0,5.333333333333333,11,8138136421.98,,23
15,16.03.2019,158315.5,1.875,8,0.0,,0
16,17.03.2019,47971.0,1.0,1,0.0,,0
17,18.03.2019,22719723205.04,3.4545454545454546,24,14568766143.289999,,26
18,19.03.2019,19658455240.65,3.2916666666666665,27,5549632294.139999,,20
19,20.03.2019,26452713998.5,4.456140350877193,22,26110105074.360004,,25
20,21.03.2019,25426178206.14,2.757575757575758,35,7558013856.05,,27
22,23.03.2019,711402.4,6.25,4,271554.8,5.75,4
23,24.03.2019,38952.799999999996,5.0,3,506763.6,11.0,1
24,25.03.2019,26499099662.9,4.4,17,19601184076.63,,35
25,26.03.2019,23523944675.26,7.142857142857143,16,17183845462.93,,30
26,27.03.2019,28062725090.309998,5.285714285714286,22,22997275337.85,,25
27,28.03.2019,23893793033.85,3.76,26,10341018335.73,,26
28,29.03.2019,24273105323.969997,3.9615384615384617,28,15223493353.359999,,44
29,30.03.2019,106207.3,1.5454545454545454,11,1916.6,2.0,1
30,31.03.2019,39924.5,1.0,5,5931.6,1.0,1
31,01.03.2019,206415712.0,7.285714285714286,8,13511851134.86,,31
32,02.03.2019,407577.9,5.4,5,193018.3,3.75,4
33,03.03.2019,12567.6,2.0,4,12787.3,5.0,2
34,11.03.2019,42228491.7,2.9166666666666665,12,6246462987.5,2.6842105263157894,19
35,22.03.2019,24938728752.25,3.392857142857143,29,50943544698.69,,33
