,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.05.2019,234805.1,3.6,5,18009.800000000003,1.6666666666666667,3
4,05.05.2019,101356.6,5.0,6,152593.2,3.3333333333333335,3
5,06.05.2019,3316121.0999999996,3.888888888888889,18,5265656693.25,2.15,20
6,07.05.2019,16697911.4,2.5,28,27723918920.170002,2.522727272727273,44
7,08.05.2019,1063295096.6,3.5714285714285716,14,28519976274.06,2.4411764705882355,34
8,09.05.2019,126913.7,2.875,8,357708.6,5.5,2
9,10.05.2019,1063620647.27,2.8181818181818183,11,2307435416.8,2.0,8
11,12.05.2019,69811.9,2.4285714285714284,7,8765.3,1.0,2
12,13.05.2019,2353643.0,3.9615384615384617,26,19584379036.0,2.8333333333333335,24
13,14.05.2019,669614.7,3.761904761904762,21,12945191381.83,2.6538461538461537,26
14,15.05.2019,71648894.52999999,,17,61821532237.18,,31
15,16.05.2019,281696162.1,3.090909090909091,33,43341286736.4,3.129032258064516,31
16,17.05.2019,1571875.6699999997,3.0434782608695654,23,29161776043.930004,2.5555555555555554,36
17,18.05.2019,489345.10000000003,2.8333333333333335,6,28861.8,3.5,2
18,19.05.2019,432486.30000000005,11.25,4,36446.5,4.0,3
19,20.05.2019,13980421.52,2.5172413793103448,29,25186213147.860004,3.5555555555555554,27
20,21.05.2019,963243387.9,4.066666666666666,16,15059506212.199999,,30
21,22.05.2019,5839399555.780001,3.8846153846153846,29,66079850202.75001,,35
22,23.05.2019,1407902.2000000002,4.357142857142857,14,14402321590.8,3.24,25
23,24.05.2019,799921300.8900001,,37,7718591056.31,,30
24,25.05.2019,242945.49999999997,4.363636363636363,11,13125.099999999999,2.6666666666666665,3
25,26.05.2019,48902.6,2.3333333333333335,6,26049.899999999998,1.3333333333333333,3
26,27.05.2019,610729.1,1.8571428571428572,14,1845941284.9599998,1.5333333333333334,15
27,28.05.2019,1093947.0999999999,2.7777777777777777,27,8224750829.24,2.8421052631578947,19
28,29.05.2019,957028588.73,2.888888888888889,37,23736199684.68,,31
29,30.05.2019,21072022.97,3.0555555555555554,18,19727444373.04,3.6206896551724137,29
30,31.05.2019,3429608.5800000005,3.4782608695652173,23,18845287214.879997,3.433333333333333,30
31,01.05.2019,297592.19999999995,5.0,9,33333.3,4.0,2
32,02.05.2019,1097583.4000000001,,8,12957060.959999999,,6
33,03.05.2019,2042405.0,6.6,5,1728978838.5,2.111111111111111,9
34,11.05.2019,192461.0,5.0,6,111134.1,4.666666666666667,3
