,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.11.2019,160063.8,4.833333333333333,6,40034860.6,1.6666666666666667,6
4,05.11.2019,5769399557.91,3.909090909090909,23,16625487671.5,,38
5,06.11.2019,24210901.7,4.222222222222222,18,29608154996.67,2.6363636363636362,33
6,07.11.2019,131697729.07000001,2.6666666666666665,33,37911696217.590004,2.5833333333333335,36
7,08.11.2019,819820990.21,6.785714285714286,15,38473801679.86,,40
8,09.11.2019,234669.6,8.8,5,100011.29999999999,3.0,3
9,10.11.2019,103025.29999999999,5.6,5,25734.0,3.0,3
11,12.11.2019,1805142.7,2.9642857142857144,28,13298889201.36,2.3461538461538463,26
12,13.11.2019,5946687924.1,6.166666666666667,16,13184187986.16,,32
13,14.11.2019,39553499.0,2.75,32,17651041414.65,3.0,32
14,15.11.2019,17892825075.9,5.111111111111111,19,22919545614.540005,,23
15,16.11.2019,1840939.6,3.3333333333333335,6,21370.2,1.6666666666666667,3
16,17.11.2019,112426.29999999999,3.2,5,27305.6,1.75,4
17,18.11.2019,2866178.4699999997,3.7058823529411766,17,9079102743.7,2.185185185185185,27
18,19.11.2019,59534328.300000004,3.875,16,12482896209.81,2.6,30
19,20.11.2019,183826310.9,3.3684210526315788,19,18123164679.479996,2.1470588235294117,34
20,21.11.2019,1551904608.61,4.142857142857142,36,8499937685.93,,28
22,23.11.2019,156896.5,3.3333333333333335,9,90249.6,4.0,3
23,24.11.2019,108166.0,3.2,5,134639.9,2.3333333333333335,3
24,25.11.2019,2967420.71,2.892857142857143,28,9853594457.749998,2.75,24
25,26.11.2019,26980790.099999994,3.4347826086956523,23,6331544969.369999,2.0,29
26,27.11.2019,1383350.5,2.48,25,11671322053.21,2.65625,32
27,28.11.2019,22552866.5,2.4074074074074074,27,5436021891.85,2.12,25
28,29.11.2019,2735614.0,4.583333333333333,12,4210912903.9,2.2666666666666666,30
29,30.11.2019,837231.5,4.083333333333333,12,336650.2,4.666666666666667,3
30,01.11.2019,3236780530.6000004,4.434782608695652,24,9775727817.21,,32
31,02.11.2019,198551.8,5.142857142857143,7,1116608.0,5.0,3
32,03.11.2019,90788.4,4.0,6,96043.6,4.5,2
33,11.11.2019,14510944.7,3.6818181818181817,22,15517611231.830002,2.484848484848485,33
34,22.11.2019,959602.2,3.7142857142857144,21,4153387960.93,2.3225806451612905,31
