,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.10.2019,11432114047.7,7.027777777777778,37,30572334960.27,,36
4,05.10.2019,625328.7,5.5,12,86035.9,3.3333333333333335,3
5,06.10.2019,278242.7,3.7777777777777777,9,30377.7,4.0,2
6,07.10.2019,284787430.90000004,4.588235294117647,17,23399386130.39,2.5483870967741935,31
7,08.10.2019,2545850.85,4.235294117647059,17,10239656038.449999,2.92,25
8,09.10.2019,658202.7999999999,3.909090909090909,22,13622340612.919998,2.962962962962963,27
9,10.10.2019,242495330.00000003,3.0,34,27827449067.71,3.2333333333333334,30
11,12.10.2019,476317.79999999993,4.636363636363637,11,335150.9,7.5,2
12,13.10.2019,198958.90000000002,4.111111111111111,9,126272.3,4.5,2
13,14.10.2019,212040583.8,3.5,26,5401921900.97,2.6315789473684212,19
14,15.10.2019,36935438.8,4.222222222222222,18,26796009139.77,2.325,40
15,16.10.2019,103880532.86999999,,36,8043846718.139999,,34
16,17.10.2019,292278318.4,5.769230769230769,14,46128069243.159996,,34
17,18.10.2019,9074429.7,4.428571428571429,14,11411863855.61,3.380952380952381,21
18,19.10.2019,206971.0,5.8,5,34220.2,4.5,2
19,20.10.2019,64366.7,2.8,5,4285.200000000001,1.0,2
20,21.10.2019,7997289619.4,5.352941176470588,18,17628413677.660004,,30
22,23.10.2019,731512109.9,3.0697674418604652,43,42559627885.350006,3.8,30
23,24.10.2019,385207027.3,,25,16795604132.590002,,29
24,25.10.2019,30414651.0,2.875,32,31493141469.059998,2.65625,32
25,26.10.2019,140367.7,3.3636363636363638,11,18686.2,4.0,2
26,27.10.2019,75019.6,2.6,5,24785.9,2.0,2
27,28.10.2019,403474276.36,5.411764705882353,18,9544035181.85,,24
28,29.10.2019,5586871730.09,5.3076923076923075,15,17327986542.92,,23
29,30.10.2019,6700574471.799999,3.533333333333333,31,30395011820.879997,,29
30,31.10.2019,3504472961.6,3.8846153846153846,27,22912022310.939995,,42
31,01.10.2019,14653102.200000001,5.375,16,2803970186.6700006,2.130434782608696,23
32,02.10.2019,2185082.1999999997,4.125,24,12387761401.98,2.92,25
33,03.10.2019,9837802430.94,4.71875,33,9169423805.2,,18
34,11.10.2019,5891238.46,3.9714285714285715,35,14159482244.350002,3.1,20
35,22.10.2019,1042281523.3199999,4.0,25,19215489018.07,3.0344827586206895,29
