,Дата,Объем сделок по корпоративным облигациям,Среднее количество сделок по одной корпоративной облигации,Количество сделок по корпоративным облигациям,Объем сделок по ОФЗ,Среднее количество сделок по одной ОФЗшке,Количество сделок по ОФЗ
3,04.09.2019,1284558.0,2.923076923076923,26,41093175498.96999,3.0294117647058822,34
4,05.09.2019,13761451.520000001,3.5714285714285716,21,14752317486.33,3.6153846153846154,26
5,06.09.2019,1035895.7,,15,14854450740.859999,,26
6,07.09.2019,261005.4,5.333333333333333,6,23400.6,2.3333333333333335,3
7,08.09.2019,312644.2,4.8,5,116245.5,3.0,2
8,09.09.2019,11271259.299999999,3.611111111111111,18,8349564608.190001,2.185185185185185,27
9,10.09.2019,1274170.6,4.3076923076923075,13,11299946865.46,2.15625,32
11,12.09.2019,21059539.4,2.8275862068965516,29,13015436287.11,2.696969696969697,33
12,13.09.2019,8048668916.4,6.052631578947368,22,11531003189.43,,29
13,14.09.2019,216919.6,5.285714285714286,7,59639.1,4.0,3
14,15.09.2019,906707.3999999999,9.25,4,36619.7,1.6666666666666667,3
15,16.09.2019,8048391315.62,4.310344827586206,32,9662598860.369999,,25
16,17.09.2019,911160.7000000001,5.466666666666667,15,9735007366.55,2.739130434782609,23
17,18.09.2019,51687012.1,3.5625,16,7241634964.669999,3.1818181818181817,22
18,19.09.2019,206777456.92999998,2.4,35,14607137076.54,3.32,25
19,20.09.2019,3725738840.2,4.454545454545455,24,13019564808.820002,,23
20,21.09.2019,491061.7,6.833333333333333,6,614126.6,5.0,2
22,23.09.2019,1273706927.1999998,3.393939393939394,34,7692021940.990001,,21
23,24.09.2019,1209867.0999999999,3.7058823529411766,17,8018720269.73,2.25,28
24,25.09.2019,1966622.2,5.48,25,29812390732.730003,3.4516129032258065,31
25,26.09.2019,870551263.9,4.242424242424242,34,7196315946.86,,34
26,27.09.2019,987371.3000000002,3.7142857142857144,21,7734028321.84,3.4545454545454546,22
27,28.09.2019,128588.79999999999,3.4,10,10677.300000000001,2.5,2
28,29.09.2019,140918.2,1.5555555555555556,9,0.0,,0
29,30.09.2019,839443742.7,5.315789473684211,20,7080658666.7300005,,26
30,01.09.2019,73110.29999999999,2.75,8,14867.5,2.0,2
31,02.09.2019,398652.2,4.125,16,18069255304.37,3.0344827586206895,29
32,03.09.2019,4698797.4,,17,26933363300.81,,27
33,11.09.2019,2754653.9000000004,4.55,20,6182609154.290001,2.607142857142857,28
34,22.09.2019,189463.7,4.2,5,10628.1,2.0,2
